a	her	(cl:pron;sing;fem;)/(sing;fem;)		the	(cl:art;sing;fem)/(sing)
animal macho	tom	(cl:subst;)/
aniversário	birthday	(cl:subst;masc;)/
anjo	angel	(cl:subst;masc;)/
ano	year	(cl:subst;masc;)/
anormal	abnormal	(cl:adj;)/
anotar	log	(cl:vb;)/
ansiedade	anxiety	(cl:subst;fem;)/
anterior	prior	(cl:adj;)/		former	(cl:adj;)/
antes	before	(cl:prep/adv;)/		prior	(cl:adv;)/
antes que	before	(cl:conj;)/
antibiótico	antibiotics	(cl:subst;)/
anticorpo	antibodies	(cl:subst;masc;)/
antigo	ancient	(cl:adj;)/		former	(cl:adj;)/
anual	annual	(cl:adj;)/
anunciar	announce	(cl:vb;)/
anônimo	anonymous	(cl:adj;)/
anúncio	announcement	(cl:subst;masc;)/		advertisement	(cl:subst;masc;)/		advertisement	(cl:subst;masc;)/
ao ar livre	outdoor	(cl:adj;)/
ao lado	nextdoor	(cl:prep;)/
ao lado de	next to	(cl:prep;)/
ao longo de	along	(cl:prep;)/
ao mesmo tempo	at the same time	(cl:adv;)/
ao redor	around	(cl:adv;)/
ao todo	at all	(cl:adv;)/
apagar	delete	(cl:vb;)/
aparar	trim	(cl:vb;)/
aparecer	appear	(cl:vb;)/
aparelho	device	(cl:subst;masc;)/
aparentemente	apparently	(cl:adv;)/
apartamento	apartment	(cl:subst;masc;)/
aperfeiçoamento	advanced training	(cl:subst;)/
apesar de	nevertheless	(cl:conj;)/
apesar disso	still	(cl:adv;)/
aplainar	plane	(cl:vb;)/
aplicar	apply	(cl:vb;)/
aplicação	application	(cl:subst;)/
apoiar	side	(cl:vb;)/		support	(cl:vb;)/
apoio	support	(cl:subst;masc;)/
apontar	point	(cl:vb;)/
aposta	bet	(cl:subst;fem;)/
apreciar	enjoy	(cl:vb;)/		enjoy	(cl:vb;)/
aprender	learn	(cl:vb;)/
apresentar	introduce	(cl:vb;)/		present	(cl:vb;)/
apropriado	appropriate	(cl:adj;)/		fit	(cl:adj;)/
aprovar	approve	(cl:vb;)/
aprovação	approval	(cl:subst;)/
aproximadamente	approximately	(cl:adv;)/
após	after	(cl:prep;)/
aquecer	heat	(cl:vb;)/
aquecimento	warmth	(cl:subst;masc;)/
aquele	that	(cl:pron;)/(plu:those)
aqui	here	(cl:adv;)/
ar	air	(cl:subst;masc;)/
arame	wire	(cl:subst;masc;)/
aranha	spider	(cl:subst;fem;)/
arbusto	bush	(cl:subst;masc;)/
arco íris	rainbow	(cl:subst;)/
areia	sand	(cl:subst;fem;)/
armazenar	store	(cl:vb;)/
armário	cupboard	(cl:subst;masc;)/
arqueólogo	archaeologist	(cl:subst;)/
arquivar	file	(cl:vb;)/
arquivo	file	(cl:subst;masc;)/
arranhar	scratch	(cl:vb;)/		claw	(cl:vb;)/
arranhão	scratch	(cl:subst;)/
arriscar	risk	(cl:vb;)/
arroz	rice	(cl:subst;incont)/(incont)
arrumar	arrange	(cl:vb;)/
arte	art	(cl:subst;fem;)/
artificial	artificial	(cl:adj;)/
artigo	article	(cl:subst;)/
arábia	Arabia	(cl:subst;)/
aspargo	asparagus	(cl:subst;masc;)/
assassino	murderer	(cl:subst;)/
assegurar	ensure	(cl:vb;)/
assento	seat	(cl:subst;masc;)/
assim	thus	(cl:adv;)/
assim que	as soon as	(cl:adv;)/
assinar	sign	(cl:vb;)/
assistir televisão	television	(cl:vb;)/
associar	associate	(cl:vb;)/
associação	association	(cl:subst;)/
assumir	assume	(cl:vb;)/
assunto	subject	(cl:subst;)/
atacar	attack	(cl:vb;)/
ataque	attack	(cl:subst;masc;)/		fit	(cl:subst;)/
atendimento	service	(cl:subst;masc;)/
atentamente	closely	(cl:adv;)/
atento	aware	(cl:adj;)/
atenção	attention	(cl:subst;fem;)/
atirar	shoot	(cl:vb;)/
atividade	activity	(cl:subst;)/		activity	(cl:subst;)/
ativo	active	(cl:adj;)/
ato	act	(cl:subst;masc;)/
ator	actor	(cl:subst;)/
atrasado	late	(cl:adj;)/
atraso	delay	(cl:subst;masc;)/
atravessar	cross	(cl:vb;)/
através	across	(cl:prep;)/
através de	past	(cl:prep;)/		through	(cl:prep;)/
atração	attraction	(cl:subst;)/
atribuir	refer	(cl:vb;)/		refer	(cl:vb;)/
atriz	actress	(cl:subst;fem;)/
atrás	ago	(cl:adv;)/		behind	(cl:prep/adv;)/		back	(cl:adv;)/
atual	current	(cl:adj;)/		actual	(cl:adj;)/
atualizar	update	(cl:vb;)/
atualmente	currently	(cl:adv;)/
atum	tuna	(cl:subst;masc;)/		tuna	(cl:subst;masc;)/
até	until	(cl:prep;)/		even	(cl:adv;)/
até aqui	so far	(cl:adv;)/
audiência	audience	(cl:subst;fem;)/
aumentar	increase	(cl:vb;)/
austrália	Australia	(cl:pron;sing;fem;)/(sing;fem;)
autismo	autism	(cl:subst;masc;)/
automaticamente	automatically	(cl:adv;)/
automóvel	auto	(cl:subst;masc;)/
autor	author	(cl:subst;)/
autoridade	authority	(cl:subst;fem;)/
autorização	authorization	(cl:subst;fem;)/
av.	ave.	(cl:subst;abrev;)/(abrev;)
avaliar	evaluate	(cl:vb;)/
ave	bird	(cl:subst;)/
avenida	avenue	(cl:subst;fem;)/
aventura	adventure	(cl:subst;fem;)/
aviação	aviation	(cl:subst;fem;)/
avião	plane	(cl:subst;masc;)/
avó	grandmother	(cl:subst;fem;)/
avô	grandfather	(cl:subst;masc;)/
azedo	sour	(cl:adj;)/
azeite	olive oil	(cl:subst;masc;)/
azul	blue	(cl:adj;)/
aço	steel	(cl:subst;masc;)/
ação	action	(cl:subst;fem;)/		share	(cl:subst;fem;)/
ação de graça	thanksgiving	(cl:subst;)/
açúcar	sugar	(cl:subst;masc;)/
aí	there	(cl:adv;)/
bacteriano	bacterial	(cl:adj;)/
bactéria	bacteria	(cl:subst;fem;)/(plu;)
baixo	low	(cl:adj/adv;)/
balançar	rock	(cl:vb;)/
balcão	counter	(cl:subst;masc;)/
baleia	whale	(cl:subst;fem;)/
banco	bank	(cl:subst;masc;)/
bandeira	flag	(cl:subst;fem;)/
banhar	bathe	(cl:vb;)/
