amenaza	threat	(cl:subst;fem;)/
americano	american	(cl:adj/subst;)/
amigo	friend	(cl:subst;)/
amor	love	(cl:subst;masc;)/
américa	America	(cl:subst;sing;fem;)/(sing;fem;)
ancho	wide	(cl:adj;)/
anchura	width	(cl:subst;fem;)/
andar	step	(cl:vb;)/		walk	(cl:vb;)/
anillo	ring	/(cl:subst;)
animal	animal	(cl:subst;masc;)/
animal de compañía	pet	(cl:subst;)/
anormal	abnormal	(cl:adj;)/
anotar	log	(cl:vb;)/
ansiedad	anxiety	(cl:subst;)/
anterior	prior	(cl:adj;)/		former	(cl:adj;)/
anteriormente	previously	(cl:adv;)/
antes	before	(cl:adv;)/(cl:prep/adv;)		prior	(cl:adv;)/
antes de que	before	(cl:conj;)/
antibiótico	antibiotics	(cl:subst;)/
anticuerpo	antibodies	(cl:subst;masc;)/
antiguo	ancient	(cl:adj;)/		former	(cl:adj;)/
anual	annual	(cl:adj;)/
anunciar	announce	(cl:vb;)/
anuncio	announcement	(cl:subst;masc;)/
anónimo	anonymous	(cl:adj;)/
aparato	device	(cl:subst;masc;)/
aparcar	park	(cl:vb;)/
aparecer	appear	(cl:vb;)/
apartado de	off	(cl:prep;)/
apartamento	apartment	(cl:subst;masc;)/
apartar	part	(cl:vb;)/
aplicar	apply	(cl:vb;)/
apoplejía	fit	(cl:subst;fem;)/
apoyar	support	(cl:vb;)/
apoyo	support	(cl:subst;masc;)/		hold	(cl:subst;masc;)/		support	(cl:subst;masc;)/
aprender	learn	(cl:vb;)/
aprobar	approve	(cl:vb;)/
apropriado	appropriate	(cl:adj;)/
aprovisionamiento	supply	(cl:subst;masc;)/		supply	(cl:subst;masc;)/
aproximadamente	approximately	(cl:adv;)/
apuesta	bet	(cl:subst;fem;)/
aquel	that	(cl:pron;)/(plu:those)
arabia	Arabia	(cl:subst;)/
araña	spider	(cl:subst;fem;)/
arañar	scratch	(cl:vb;)/
arbusto	bush	(cl:subst;masc;)/
archivar	file	(cl:vb;)/
arco iris	rainbow	(cl:subst;)/
ardilla	squirrel	(cl:subst;fem;)/
arena	sand	(cl:subst;fem;)/
armario	cupboard	(cl:subst;masc;)/
arreglar	arrange	(cl:vb;)/
arriba	above	(cl:prep/adv;)/		upstairs	(cl:adv)/(cl:adv)
arriesgar	risk	(cl:vb;)/
arrojar	result	(cl:vb;)/
arroyo	creek	(cl:subst;masc;)/
arroz	rice	(cl:subst;incont)/(incont)
arte	art	(cl:subst;masc;)/
artificial	artificial	(cl:adj;)/
artículo	article	(cl:subst;masc;)/
ascensor	lift	(cl:subst;masc;)/
asesino	murderer	(cl:subst;)/
asia	Asia	(cl:pron;sing;fem;)/(sing;fem;)
asiento	seat	(cl:subst;masc;)/
asociar	associate	(cl:vb;)/
asunto	affair	(cl:subst;)/
así	thus	(cl:adv;)/
atacar	attack	(cl:vb;)/
ataque	attack	(cl:subst;masc;)/
atención	attention	(cl:subst;fem;)/
atrasado	late	(cl:adj;)/
atravesar	cross	(cl:vb;)/		cross	(cl:vb;)/
através	across	(cl:prep;)/
atrás	back	(cl:adv;)/		behind	(cl:prep/adv;)/
atún	tuna	(cl:subst;)/
audiencia	audience	(cl:subst;fem;)/
aumentar	increase	(cl:vb;)/
aumento	growth	(cl:subst;masc;)/
aunque	though	(cl:conj;)/		although	(cl:conj;)/
australia	Australia	(cl:pron;sing;fem;)/(sing;fem;)
autismo	autism	(cl:subst;masc;)/
autobús	bus	(cl:subst;masc;)/		bus	(cl:subst;masc;)/
automaticamente	automatically	(cl:adv;)/
automóvil	auto	(cl:subst;)/
autopista	highway	(cl:subst;fem;)/
autoridad	authority	(cl:subst;fem;)/
autorización	authorization	(cl:subst;fem;)/
av.	ave.	(cl:subst;abrev;)/(abrev;)
ave	bird	(cl:subst;)/
avenida	avenue	(cl:subst;fem;)/
aventura	adventure	(cl:subst;fem;)/
aviación	aviation	(cl:subst;fem;)/
aviso	notice	(cl:subst;masc;)/
avispa	wasp	(cl:subst;fem;)/
avión	plane	(cl:subst;masc;)/
ayer	yesterday	(cl:adv;)/
ayuda	help	(cl:subst;fem;)/		assistance	(cl:subst;fem;)/		aid	(cl:subst;fem;)/		assist	(cl:subst;fem;)/
ayudar	help	(cl:vb;)/		assist	(cl:vb;)/		aid	(cl:vb;)/
azul	blue	(cl:adj;)/
azúcar	sugar	(cl:subst;)/
año	year	(cl:subst;masc;)/
aún	yet	(cl:adv;)/
bacteria	bacteria	(cl:subst;fem;)/(plu;)
bacteriano	bacterial	(cl:adj;)/
bahía	bay	(cl:subst;fem;)/
bailar	dance	(cl:vb;)/
bajo	low	(cl:adj/adv;)/
balancear	rock	(cl:vb;)/
balcón	balcony	(cl:subst;masc;)/
ballena	whale	(cl:subst;fem;)/
banco	bank	(cl:subst;masc;)/
bandera	flag	(cl:subst;fem;)/
bar	bar	(cl:subst;)/
barato	cheap	(cl:adj;)/
barco	boat	(cl:subst;masc;)/
barriga	belly	(cl:subst;fem;)/
base	base	(cl:subst;)/		basis	(cl:subst;)/(sing;)
bastante	enough	(cl:adj;)/(adv;)		rather	(cl:adv;)/		plenty	(cl:adv;)/		enough	(cl:pron;sing;)/(sing;)
basura	litter	(cl:subst;fem;)/		garbage	(cl:subst;fem;)/
batalla	battle	(cl:subst;fem;)/
batería	battery	(cl:subst;fem;)/
bañar	bathe	(cl:vb;)/
baño	bath	(cl:subst;masc;)/
beber	drink	(cl:vb;)/
bebida	drink	(cl:subst;fem;)/
bebé	baby	(cl:subst;)/
bello	beautiful	(cl:adj;)/
beneficiar	benefit	(cl:vb;)/		benefit	(cl:vb;)/
beneficio	benefit	(cl:subst;masc;)/
berenjena	eggplant	(cl:subst;fem;)/
beso	kiss	(cl:subst;masc;)/
biblioteca	library	(cl:subst;fem;)/
bicicleta	bicycle	(cl:subst;fem;)/
bien	quite	(cl:adv;)/		well	(cl:adv;)/		good	(cl:subst;)/
