approval	aprovação	(cl:subst;)/
approve	aprovar	(cl:vb;)/
approximately	aproximadamente	(cl:adv;)/
april	Abril	(cl:subst;sing;)/(sing;)
arab	árabe	(cl:subst;)/
arabia	Arábia	(cl:subst;)/
archaeologist	arqueólogo	(cl:subst;)/
area	área	(cl:subst;)/
arm	braço	(cl:subst;)/(masc;)
around	em torno	(cl:prep;)/		ao redor	(cl:adv;)/
arrange	arrumar	(cl:vb;)/
art	arte	(cl:subst;)/(fem;)
article	artigo	(cl:subst;)/
artificial	artificial	(cl:adj;)/
as	como	(cl:conj/prep;)/		quando	(cl:conj;)/
as long as	enquanto	(cl:conj;)/
as soon as	assim que	(cl:adv;)/
as well	também	(cl:adv;)/
ascertain	verificar	(cl:vb;)/
ashes	cinzas	(cl:subst;plu;)/(plu;)
asia	Ásia	(cl:pron;sing;fem;)/(sing;fem;)
ask	perguntar	(cl:vb;)/		pedir	(cl:vb;)/
asparagus	aspargo	(cl:subst;)/(masc;)
assist	ajudar	(cl:vb;)/		lance	(cl:subst;)/
assistance	ajuda	(cl:subst;)/(fem;)
associate	associar	(cl:vb;)/
association	associação	(cl:subst;)/
assume	assumir	(cl:vb;)/
at	em	(cl:prep;)/		junto a	(cl:prep;)/
at all	ao todo	(cl:adv;)/
at large	largamente	(cl:adv;)/
at least	no mínimo	(cl:adv;)/		no mínimo	(cl:adv;)/		pelo menos	(cl:adv;)/
at the latest	mais tardar	(cl:adv;)/
at the same time	ao mesmo tempo	(cl:adv;)/
atm	caixa eletrônico	(cl:subst;)/
attack	ataque	(cl:subst;)/(masc;)		atacar	(cl:vb;)/
attempt	tentar	(cl:vb;)/		tentativa	(cl:subst;)/
attention	atenção	(cl:subst;)/(fem;)
attraction	atração	(cl:subst;)/
audience	audiência	(cl:subst;)/(fem;)		público	(cl:subst;)/(masc;)
august	Agosto	(cl:subst;sing;)/(sing;)		majestoso	(cl:adj;)/
aunt	tia	(cl:subst;)/(fem;)
